name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
Typical Attic Floor,AtticFloor,WoodFramed,Typical Insulation,,1/2IN Gypsum,Typical Insulation,1/2IN Gypsum,,,
Typical Wood Joist Attic Floor,AtticFloor,WoodFramed,Typical Insulation,,5/8 in. Gypsum Board,Typical Insulation,,,,
Typical Wood Joist Attic Floor Ceiling,AtticFloor,WoodFramed,,,Typical Insulation,5/8 in. Gypsum Board,,,,
Typical Uninsulated Metal Roof Attic Roof,AtticRoof,WoodFramed,,,Roof Membrane,Metal Decking,,,,
Typical Uninsulated Wood Joist Attic Roof,AtticRoof,WoodFramed,,,Asphalt Shingles,5/8 in. Plywood,,,,
Typical Attic Soffit,AtticWall,,,,5/8 in. Plywood,,,,,
Typical Insulated Metal Door,ExteriorDoor,,Typical Insulation,,F08 Metal surface,Typical Insulation,,,,
Typical Overhead Door,ExteriorDoor,RollUp,Typical Insulation,,Typical Insulation,,,,,
Typical Uninsulated Swinging Door,ExteriorDoor,Swinging,Typical Insulation,,Typical Insulation,,,,,
Adiabatic ExteriorFloor,ExteriorFloor,Mass,,,Adiabatic Material,,,,,
Typical Carpeted 4in Slab Floor,ExteriorFloor,,,,MAT-CC05 4 HW CONCRETE,Typical Carpet Pad,,,,
Typical Insulated Carpeted 4in Slab Floor,ExteriorFloor,,Typical Insulation,,Typical Insulation,MAT-CC05 4 HW CONCRETE,Typical Carpet Pad,,,
Typical Insulated Exterior Mass Floor,ExteriorFloor,Mass,Typical Insulation,,Typical Insulation,4 in. Normalweight Concrete Floor,Typical Carpet Pad,,,
Typical Insulated Exterior Mass Floor Ceiling,ExteriorFloor,Mass,Typical Insulation,,Typical Carpet Pad,4 in. Normalweight Concrete Floor,Typical Insulation,,,
Typical Insulated Steel Framed Exterior Floor,ExteriorFloor,SteelFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,Typical Carpet Pad,
Typical Insulated Wood Framed Exterior Floor,ExteriorFloor,WoodFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,Typical Carpet Pad,
Typical Uncarpeted 4in Slab Floor,ExteriorFloor,,,,MAT-CC05 4 HW CONCRETE,,,,,
Adiabatic Roof,ExteriorRoof,Attic and Other,,,Adiabatic Material,,,,,
Metal roofR_R30,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R_R30,,,,
Metal roofR_R38,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R_R38,,,,
Metal roofR_T24_2013_24.86,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R_T24_2013_24.86,,,,
Metal roofR1_R14.20,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R1_R14.20,,,,
Metal roofR2_R12.90,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R2_R12.90,,,,
Metal roofR3_R17.74,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R3_R17.74,,,,
Metal roofR4_R20.28,ExteriorRoof,,Typical Insulation,,Metal Standing Seam - 1/16 in. CBES,R4_R20.28,,,,
Typical Built Up Roof,ExteriorRoof,IEAD,Typical Insulation,,Built-up Roofing,Typical Insulation,Metal Surface,,,
Typical Built Up Roof - Highly Reflective,ExteriorRoof,IEAD,Typical Insulation,,Built-up Roofing - Highly Reflective,Typical Insulation,Metal Surface,,,
Typical IEAD Roof,ExteriorRoof,IEAD,Typical Insulation,,Roof Membrane,Typical Insulation,Metal Roof Surface,,,
Typical IEAD Roof - Highly Reflective,ExteriorRoof,IEAD,Typical Insulation,,Roof Membrane - Highly Reflective,Typical Insulation,Metal Roof Surface,,,
Typical Insulated Metal Building Roof,ExteriorRoof,Metal Building,Typical Insulation,,Metal Roof Surface,Typical Insulation,,,,
Typical Insulated Metal Building Roof - Highly Reflective,ExteriorRoof,Metal Building,Typical Insulation,,Metal Roof Surface - Highly Reflective,Typical Insulation,,,,
Typical Uninsulated Metal Building Roof,ExteriorRoof,Metal Building,,,Metal Roofing,,,,,
Typical Uninsulated Metal Building Roof - Highly Reflective,ExteriorRoof,Metal Building,,,Metal Roofing - Highly Reflective,,,,,
Adiabatic Wall,ExteriorWall,Mass,,,Adiabatic Material,,,,,
Metal framed wallsW_m1_R15,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W_m1_R15,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW_m2_R19,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W_m2_R19,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW_m3_R21,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W_m3_R21,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW_T24_2013_R13.99,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W_T24_2013_R13.99,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW1_R8.60,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W1_R8.60,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW2_R11.13,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W2_R11.13,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW3_R11.36,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W3_R11.36,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Metal framed wallsW4_R12.62,ExteriorWall,,Typical Insulation,,Stucco - 7/8 in. CBES,W4_R12.62,Air - Metal Wall Framing - 16 or 24 in. OC,Gypsum Board - 1/2 in. CBES,,
Typical Insulated Exterior Mass Wall,ExteriorWall,Mass,Typical Insulation,,1IN Stucco,8IN CONCRETE HW RefBldg,Typical Insulation,1/2IN Gypsum,,
Typical Insulated Metal Building Wall,ExteriorWall,Metal Building,Typical Insulation,,Metal Siding,Typical Insulation,1/2IN Gypsum,,,
Typical Insulated Steel Framed Exterior Wall,ExteriorWall,SteelFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,,
Typical Insulated Wood Framed Exterior Wall,ExteriorWall,WoodFramed,Typical Insulation,,25mm Stucco,5/8 in. Gypsum Board,Typical Insulation,5/8 in. Gypsum Board,,
