energy_code,climate_zone,surface_type,assembly_type,construction_name,is_duplicate
ASHRAE_90_1_2007,1,Roof,Attic_and_Other,Typical Attic & Other Roof CZ1 - R-29 || R-5,false
ASHRAE_90_1_2007,1,Roof,Attic_and_Other,Attic & Other Roof CZ1 - R-39 || R-7,false
ASHRAE_90_1_2007,1,Roof,Attic_and_Other,Attic & Other Roof CZ1 - R-44 || R-8,false
ASHRAE_90_1_2007,1,Roof,Attic_and_Other,Attic & Other Roof CZ1 - R-49 || R-9,false
ASHRAE_90_1_2007,1,Roof,Attic_and_Other,Attic & Other Roof CZ1 - R-54 || R-10,false
ASHRAE_90_1_2007,1,Roof,IEAD,Typical IEAD Roof CZ1 - R-16 || R-3,false
ASHRAE_90_1_2007,1,Roof,IEAD,IEAD Roof CZ1 - R-26 || R-5,false
ASHRAE_90_1_2007,1,Roof,IEAD,IEAD Roof CZ1 - R-31 || R-5,false
ASHRAE_90_1_2007,1,Roof,IEAD,IEAD Roof CZ1 - R-36 || R-6,false
ASHRAE_90_1_2007,1,Roof,IEAD,IEAD Roof CZ1 - R-41 || R-7,false
ASHRAE_90_1_2007,1,Roof,Metal_Building,Typical Metal Roof CZ1 - R-15 || R-3,false
ASHRAE_90_1_2007,1,Roof,Metal_Building,Metal Roof CZ1 - R-25 || R-4,false
ASHRAE_90_1_2007,1,Roof,Metal_Building,Metal Roof CZ1 - R-30 || R-5,false
ASHRAE_90_1_2007,1,Roof,Metal_Building,Metal Roof CZ1 - R-35 || R-6,false
ASHRAE_90_1_2007,1,Roof,Metal_Building,Metal Roof CZ1 - R-40 || R-7,false
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Typical Mass Wall CZ1 - R-2 || R-0,false
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 - R-7 || R-1,false
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 - R-12 || R-2,false
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 - R-17 || R-3,false
ASHRAE_90_1_2007,1,Exterior_Walls,Mass,Mass Wall CZ1 - R-22 || R-4,false
ASHRAE_90_1_2007,1,Exterior_Walls,Metal_Building,Typical Metal Wall CZ1 - R-9 || R-2,false
ASHRAE_90_1_2007,1,Exterior_Walls,Metal_Building,Metal Wall CZ1 - R-14 || R-2,false
ASHRAE_90_1_2007,1,Exterior_Walls,Metal_Building,Metal Wall CZ1 - R-19 || R-3,false
ASHRAE_90_1_2007,1,Exterior_Walls,Metal_Building,Metal Wall CZ1 - R-24 || R-4,false
ASHRAE_90_1_2007,1,Exterior_Walls,Metal_Building,Metal Wall CZ1 - R-29 || R-5,false
ASHRAE_90_1_2007,1,Exterior_Walls,Steel_Framed,Typical Steel Framed Wall CZ1 - R-8 || R-1,false
ASHRAE_90_1_2007,1,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ1 - R-13 || R-2,false
ASHRAE_90_1_2007,1,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ1 - R-18 || R-3,false
ASHRAE_90_1_2007,1,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ1 - R-23 || R-4,false
ASHRAE_90_1_2007,1,Exterior_Walls,Steel_Framed,Steel Framed Wall CZ1 - R-28 || R-5,false
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Typical Wood Framed Wall CZ1 - R-11 || R-2,false
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 - R-16 || R-3,false
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 - R-21 || R-4,false
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 - R-26 || R-5,false
ASHRAE_90_1_2007,1,Exterior_Walls,Wood_Framed,Wood Framed Wall CZ1 - R-31 || R-5,false
ASHRAE_90_1_2007,1,Foundation,"",Typical Insulated Slab CZ1 - R-3 || R-1,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Typical Mtl Framed CZ1 - U-1.2 SHGC-0.25 VT-0.28 || U-5.68 SHGC-0.25 VT-0.28,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 - U-0.96 SHGC-0.23 VT-0.25 || U-5.68 SHGC-0.23 VT-0.25,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 - U-0.84 SHGC-0.2 VT-0.22 || U-5.68 SHGC-0.2 VT-0.22,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 - U-0.72 SHGC-0.18 VT-0.19 || U-5.68 SHGC-0.18 VT-0.19,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing,Mtl Framed CZ1 - U-0.6 SHGC-0.15 VT-0.17 || U-2.84 SHGC-0.15 VT-0.17,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Typical Mtl Framed CW CZ1 - U-1.2 SHGC-0.25 VT-0.28 || U-5.68 SHGC-0.25 VT-0.28,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 - U-0.96 SHGC-0.23 VT-0.25 || U-5.68 SHGC-0.23 VT-0.25,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 - U-0.84 SHGC-0.2 VT-0.22 || U-5.68 SHGC-0.2 VT-0.22,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 - U-0.72 SHGC-0.18 VT-0.19 || U-5.68 SHGC-0.18 VT-0.19,false
ASHRAE_90_1_2007,1,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ1 - U-0.6 SHGC-0.15 VT-0.17 || U-2.84 SHGC-0.15 VT-0.17,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Typical Non Mtl Framed CZ1 - U-1.2 SHGC-0.25 VT-0.28 || U-5.68 SHGC-0.25 VT-0.28,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 - U-0.96 SHGC-0.23 VT-0.25 || U-5.68 SHGC-0.23 VT-0.25,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 - U-0.84 SHGC-0.2 VT-0.22 || U-5.68 SHGC-0.2 VT-0.22,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 - U-0.72 SHGC-0.18 VT-0.19 || U-5.68 SHGC-0.18 VT-0.19,false
ASHRAE_90_1_2007,1,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ1 - U-0.6 SHGC-0.15 VT-0.17 || U-2.84 SHGC-0.15 VT-0.17,false
ASHRAE_90_1_2007,1,Interior_Walls,"",Typical Interior Wall,false
ASHRAE_90_1_2007,1,Floors,"",Typical Interior Floor,false
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Typical Attic & Other Roof CZ2 - R-37 || R-7,false
ASHRAE_90_1_2007,2,Roof,Attic_and_Other,Attic & Other Roof CZ2 - R-47 || R-8,false
